-,-,-
117, -113, 814
73, -165, 854
102, -241, 966
102, -241, 966
177, -304, 1198
242, -339, 1356
447, -303, 1570
631, -177, 1893
707, -111, 1998
733, -121, 1998
705, -84, 1837
684, -116, 1628
687, -42, 1378
685, 13, 1164
639, -66, 963
552, -156, 891
552, -156, 891
518, -161, 845
519, -154, 712
440, -101, 635
360, -152, 574
251, -171, 434
174, -214, 416
144, -306, 390
111, -252, 75
-34, -117, -305
-34, -117, -305
-186, -162, -406
-196, -268, -253
-172, -227, -329
-249, -20, -836
-249, 63, -836
-250, 23, -813
-180, -73, -720
-101, -67, -746
-100, 60, -1037
-158, 185, -1152
-123, 158, -1060
-29, -12, -1018
127, -142, -1074
294, 28, -1324
391, 203, -1556
424, 180, -1576
433, 203, -1610
409, 244, -1670
423, 191, -1641
400, 130, -1668
389, -20, -1597
365, -17, -1644
358, -13, -1599
378, 28, -1603
469, 53, -1560
586, 120, -1567
586, 120, -1567
652, 155, -1673
-,-,-
404, -264, 856
389, -176, 984
332, -164, 1237
449, -150, 1571
606, -164, 1668
688, -94, 1836
723, -89, 1938
723, -89, 1938
739, -125, 1828
746, -60, 1616
721, -3, 1342
585, -38, 978
441, -119, 883
324, -312, 1008
351, -290, 1027
308, -165, 671
110, -179, 388
-24, -377, 445
-24, -377, 445
-20, -488, 565
85, -382, 340
103, -80, -133
-8, -41, -417
-18, -305, -320
-11, -111, -443
-54, 220, -834
-128, 175, -1039
-185, -13, -857
-111, -15, -624
-75, 151, -829
-98, 209, -1198
-118, 74, -1269
-118, 74, -1269
-116, -68, -1039
-73, -13, -897
-50, 18, -997
-25, 58, -1214
40, 70, -1201
142, -114, -1127
159, -101, -1231
187, -14, -1343
236, 72, -1449
258, 100, -1538
247, 14, -1540
192, 85, -1649
204, 182, -1714
260, 143, -1798
332, -17, -1711
332, -17, -1711
-,-,-
518, -70, 1277
518, -70, 1277
499, -80, 1458
468, -204, 1611
492, -291, 1677
467, -257, 1617
433, -200, 1630
412, -202, 1590
458, -269, 1425
421, -231, 1213
300, -205, 1165
269, -273, 1111
215, -277, 925
135, -274, 715
-6, -255, 526
-115, -251, 400
-70, -319, 357
-70, -319, 357
-85, -184, 90
-173, -29, -200
-298, 14, -271
-290, -21, -176
-232, -36, -128
-210, -7, -365
-266, 50, -571
-257, 66, -502
-119, 103, -491
-102, 185, -738
-197, 198, -912
-152, 160, -894
-13, 169, -944
-13, 169, -944
23, 181, -1045
29, 153, -1156
59, 139, -1200
124, 131, -1185
177, 183, -1211
196, 214, -1262
202, 273, -1267
270, 250, -1265
292, 197, -1287
316, 156, -1325
301, 186, -1382
261, 229, -1392
266, 194, -1378
278, 171, -1367
278, 145, -1380
269, 193, -1377
292, 198, -1332
292, 198, -1332
303, 162, -1273
308, 171, -1260
-,-,-
323, -82, 909
378, -90, 986
378, -90, 986
364, -66, 1151
359, -68, 1275
406, -83, 1346
472, -63, 1394
498, -50, 1523
523, -47, 1715
510, -61, 1697
493, -92, 1523
442, -46, 1304
442, -46, 1304
340, -116, 1080
251, -214, 1063
205, -236, 1057
133, -211, 950
79, -232, 765
6, -201, 569
-113, -143, 485
-189, -192, 457
-231, -239, 390
-255, -143, 254
-291, -41, 64
-291, -41, 64
-392, -59, -114
-424, -213, -163
-339, -217, -143
-222, 31, -372
-264, 191, -768
-395, 125, -912
-410, 0, -733
-302, -36, -619
-222, 105, -728
-211, 246, -922
-242, 206, -997
-177, 119, -891
-65, 137, -942
-37, 163, -1075
-88, 112, -1155
-62, 53, -1161
-62, 53, -1161
36, 63, -1112
116, 154, -1166
163, 207, -1245
246, 235, -1404
312, 281, -1543
343, 279, -1656
359, 198, -1708
318, 178, -1778
249, 226, -1817
244, 252, -1768
299, 201, -1692
373, 111, -1675
-,-,-
389, -292, 1158
413, -272, 1259
426, -261, 1287
461, -245, 1378
467, -236, 1444
474, -232, 1590
458, -233, 1558
458, -233, 1558
451, -193, 1491
443, -166, 1349
397, -183, 1198
347, -204, 1078
304, -181, 1014
269, -169, 827
119, -122, 730
-4, -144, 750
-46, -216, 703
-138, -266, 613
-142, -174, 548
-195, -47, 316
-174, -24, 197
-185, -120, 37
-185, -120, 37
-213, -179, -86
-199, -103, -335
-239, -17, -558
-284, 18, -596
-266, 16, -537
-196, -53, -552
-126, -96, -710
-95, -1, -897
-91, 112, -988
-97, 144, -1065
-16, -70, -1114
-16, -101, -1197
-31, 71, -1184
-40, 203, -1169
-9, 152, -1254
-9, 152, -1254
61, -16, -1358
87, -47, -1381
55, 116, -1446
22, 227, -1536
11, 182, -1607
112, 91, -1669
194, 189, -1875
187, 294, -1995
161, 230, -1916
-,-,-
594, -320, 1034
617, -284, 1142
628, -240, 1296
663, -275, 1393
727, -390, 1464
727, -390, 1464
764, -360, 1552
763, -243, 1671
731, -197, 1651
729, -391, 1509
700, -416, 1342
668, -310, 1085
540, -305, 934
389, -368, 887
351, -363, 874
310, -258, 701
187, -147, 522
16, -129, 436
-57, -145, 441
-57, -145, 441
-99, -199, 394
-140, -215, 282
-153, -149, 177
-162, -31, -5
-210, 66, -173
-208, -105, -217
-147, -129, -246
-140, 7, -436
-163, 175, -535
-166, 197, -683
-142, 45, -764
-92, -41, -827
-73, 39, -919
-73, 39, -919
-88, 139, -1026
-47, 90, -1091
42, 15, -1139
109, -22, -1275
193, -60, -1433
211, 31, -1619
224, 51, -1676
217, 39, -1692
200, 30, -1694
200, 30, -1694
205, 38, -1663
210, 77, -1711
216, 15, -1685
264, -90, -1618
283, -66, -1559
291, 95, -1564
310, 168, -1525
314, 136, -1434
-,-,-
690, -366, 1312
694, -410, 1384
638, -488, 1449
638, -488, 1449
599, -399, 1602
622, -320, 1485
596, -339, 1390
610, -352, 1436
584, -336, 1291
533, -340, 1178
456, -331, 1039
355, -330, 1007
217, -404, 963
166, -377, 860
65, -297, 652
-17, -347, 528
-106, -396, 455
-146, -342, 395
-155, -187, 281
-192, -108, 65
-192, -108, 65
-188, -191, 0
-174, -176, -66
-187, -52, -252
-192, 77, -434
-199, 56, -577
-170, -17, -616
-150, 45, -702
-164, 157, -816
-165, 155, -855
-136, 64, -882
-76, 44, -913
-76, 44, -913
-74, 140, -973
-55, 242, -1053
-13, 245, -1115
32, 104, -1127
128, -68, -1076
201, 33, -1204
251, 160, -1372
293, 124, -1425
315, 73, -1423
307, 120, -1530
281, 175, -1594
288, 162, -1569
259, 86, -1575
255, 53, -1577
255, 53, -1577
262, 78, -1643
288, 38, -1643
317, 33, -1623
356, 55, -1654
-,-,-
442, -368, 1012
487, -353, 999
450, -354, 1091
419, -365, 1304
475, -386, 1289
554, -357, 1289
581, -389, 1311
552, -417, 1441
504, -457, 1502
468, -440, 1463
472, -348, 1335
472, -348, 1335
427, -325, 1015
287, -383, 840
160, -447, 875
56, -453, 919
27, -397, 925
-7, -254, 757
-54, -177, 547
-164, -240, 453
-241, -365, 530
-240, -260, 515
-193, -37, 262
-193, -37, 262
-268, 100, -13
-339, 2, -163
-400, -128, -149
-416, -106, -155
-394, 9, -239
-368, 8, -394
-339, 13, -556
-348, 82, -602
-291, 125, -676
-270, 60, -909
-270, 60, -909
-317, 1, -961
-293, 30, -760
-266, 144, -774
-271, 177, -926
-288, 41, -870
-238, -8, -732
-117, 113, -953
-44, 149, -1234
-38, 68, -1202
-37, 46, -1148
-19, 117, -1226
77, 120, -1476
77, 120, -1476
105, 38, -1704
89, -37, -1723
110, -13, -1702
152, 31, -1805
176, 19, -1813
179, 49, -1738
184, 78, -1644
215, 28, -1563
226, -9, -1550
-,-,-
383, -240, 828
436, -299, 907
475, -361, 1067
475, -361, 1067
526, -378, 1180
594, -385, 1341
637, -359, 1534
669, -372, 1626
680, -432, 1652
669, -346, 1675
659, -308, 1509
612, -320, 1344
517, -362, 1197
425, -415, 1158
388, -424, 1089
352, -354, 973
245, -274, 864
146, -273, 845
95, -268, 684
-6, -184, 498
-6, -184, 498
-74, -172, 420
-146, -182, 347
-183, -150, 308
-193, -82, 188
-228, -41, 3
-232, -13, -92
-221, -28, -176
-195, -26, -310
-214, 38, -498
-214, 38, -498
-246, 114, -608
